CDL3LINESTRIKE, -100, 9, 1, 0.02
CDLMORNINGDOJISTAR, 100, 6, 1, 0.02
CDL3LINESTRIKE, 100, 9, 1, 0.02
CDLGAPSIDESIDEWHITE, -100, 9, 1, 0.02
CDL3WHITESOLDIERS, 100, 3, 0, 0.02
CDLINNECK, -100, 9, 1, 0.02
